评论人, 评论时间, 评论内容
思睿奕辰,1年前,纠正一下，万有引力号上的引力波发射器三体人是知道的，水滴有去发动攻击，只是人类命不该绝，遇到水滴的通讯盲区而且进入四维空间碎片，万有引力号直接对水滴进行了高维度打击，把水滴给废了，然后才有万有引力号的对外广播。
谪仙人魂,1月前,万有引力在边上看呆了
谪仙人魂,1月前,放屁，那是蓝色空间号发的
heyo_morning,5月前,是的，矮大紧记错了
LOIS_j6,1年前,去年把三体看完的，当时就感到一种难以言状的悲哀，周围的啥都不是是事儿了，莫名地会朝天空看看……我觉得我可能只理解了三体的50％，或许都没有，这次听你的解读，打算再去看一遍三体。谢谢你，晓松！
江左梅郎_bp,6月前,三体是把人类做的所有错误换给了人类！
我和我的全世界,7月前,看完会不会变颓废？
WILLY_2m,11月前,地球在宇宙中连尘埃都算不上的。不用多想，哈哈:grinning_face_with_smiling_eyes:
MCwx任皓熔,1年前,严重怀疑大刘就是外星人
Dut_Daniel,8月前,看看高晓松的家庭背景你就知道了。当时学高等流体力学，学到一个普朗特的关门弟子，然后这个女的是高晓松的外婆
沉默_nht,1年前,同感
Callas_YY,1年前,同感！
1503142xvla,1年前,终于更新了，那天晚上一口气听了前两章，然后失眠了。买了个kindle为了看三体
东海章鱼哥,24天前,老哥，我也是在kindle上看的三体，哈哈哈
1386941oigl,5月前,我看过三遍
呵呵_jor,1年前,..
泽汐_tx,1年前,记得几年前第一次看三体的时候的震撼 今天重温了还是觉得大刘是中国科幻界不可多得的大牛
何足道zZ,1月前,绝对的唯一
石头_q2a,3月前,唯一
katz,1年前,不是不可多得，是唯一
缘如水_木子,1年前,好看的皮囊千篇一律，有趣的灵魂万里挑一，高晓松硕大的脸在我眼里是那样的俊俏。
放歌殊未已,1年前,片头能不短点？世界很大，任我晓说。这样好吗？
暴戾的天真,29天前,好
影子97_00,1年前,前排，三体迷表示矮大紧讲的靠谱
倾城之恋_q0,1年前,超级喜欢矮大紧老师的作品！就是以前的晓说找不到了，很遗憾！
清静自然2015,1月前,看不到这个软件啊，一共几个字啊，两个中文加两个字母吗？
大东_zny,8月前,这是什么？
心怡在一起,9月前,真的，想不到竞争有那么厉害吗？好想笑
三泉叠映,1年前,消灭人类暴政，世界属于三体。
1896944lpjf,1年前,按照目前的目的来说，的确是归0者
One_Ol_f2ddcdbe9b164,1年前,属于归零者吧
陈建国_mp,1年前,世界属于歌者文明
沧海漪粟,1年前,矮大紧讲的三体情节，很多关键部分都被漏掉或串改了，严重怀疑他有没有认真阅读《黑暗森林》和《死神永生》
ElliottArryn,16天前,不能剧透啊
奥德_hi,28天前,好好看看高晓松的背景，人出生就是新中国的贵族！见个什么人都不是事情，一般人和高都拉不上关系！
瓦西里V,8月前,细节很多，要讲全，讲的全部都准，是很难的事情。
飘然_Er,1年前,我看过最后悔的一本书叫世界名著缩写，这节目应该改名叫如何假装你读过三体，真想看书的人建议看完再听
瓦西里V,8月前,我就是听课第一讲，先忍着，然后把三本看完了，再来听。幸好是这个顺序，否则有些细节听不懂，还有一些细节会被大紧带到沟里。大紧是面壁人，也是破壁人。
maobao23,1年前,晓松老师 非常非常喜欢你 从你的才华到个人魅力 均喜爱至极！！ 尽管你粉丝万千 还是想对你告白 希望你知道有我这样一个无名小粉丝深爱你 无限崇拜你！
娟子_xdq,26天前,你不喜欢干嘛在这受煎熬
斯巴达克斯_av,11月前,你个彪呼呼的样，高晓松猥琐的笑声，一脸橘皮。满嘴脏字，你还好意思说喜欢。你简直太低俗了
江小鲤多吃两碗,1年前,骨肉皮吧
不可思议_喵喵咪,1年前,2017这季没有第一季第二季有意思，尤其美国、日本、欧洲……系列特别爱听，甚至全部下载重听。世界那么大，国家那么多，为什么不带着我们去周游世界，讲讲当地的历史风景美食人文特点什么的多好。
哇嘎嘎嘎HL,1年前,哈哈哈哈哈
股海之王,1年前,你还处在衣食果腹的阶段，不懂诗和远方的意义
JEFFHUO,1年前,《三体》确实应该由阿里买下版权，和HBO合拍！！！！而不是给国内的草台班子浪费了…请大家一起呼吁下
暴戾的天真,29天前,这个不能拍，谁拍谁毁神作!听完晓说，准备二刷三体
股海之王,1年前,看完三体，我把几乎能找到的大刘的科幻都看了一遍，大刘这人真有意思，写的作品很有启发意义，但是的确《三体》是他唯一写的最完整，篇幅最长，视野所及范围最宏大的作品
米糠zmy,1年前,:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:干嘛用轮流放屁来比喻啊？轮流吹气不好吗？
米糠zmy,10月前,
纸里包火,11月前,因为北方人说屁是崩出来的，比吹的劲儿大。
斯巴达克斯_av,11月前,他就太低俗了，
佳佳aksa,1年前,三体眼里人类是虫子 没有恨不恨 因他们根本不在乎你
13075389xjw,1年前,对「吞噬者」很好看！
奔_yz,1年前,大刘曾经写过一篇关于存在了两百万年的蚂蚁族群被人类挖掘机随随便便就灭绝了的故事，我们人类就是三体眼中的蚂蚁，一回事。道德对同一文明才有效
刂巾_av,1年前, 拍死你与你何干
不总买票的影迷,1年前,大紧老师又一次成就了三体的销量
小雨_1aq,1年前,晓说讲到兴起时就开始卖萌！台湾腔！他一定超爱这部小说！讲起来那是一个激动、兴奋完全不像走过48年的男人！而是一个活泼可爱的大男孩:boy:！
文文_y8a,1年前,同感
polyphony,1年前,推荐大家去看文曰小强做的三体视频，你会回来点赞的！
某人_po,1年前,大紧说错了……并不是三体不知道万有引力有引力波发射装置，而是水滴被青铜时代上面的人利用四维空间破坏了，这也是人类第一次看到四维空间与维度战争，也为之后的降维打击立下了flag
一心为你_8K,1年前,是蓝色空间号
孙俊峰_g1,1年前,程心推荐云天明时，并不知道那颗星是云天明送的；三体事先就知道万有引力号能发射引力波.
